service_name,country_code,availability_type,title_count,unique_titles
Fandor,CA,ads,4,4
Fandor,US,subscription,10,10
Fandor,US,ads,4,4
Fandor Amazon Channel,US,subscription,45,44
FANY Channel Select Amazon Channel,JP,subscription,2,1
Far East Amazon Channel ,IT,subscription,22,22
Fawesome,US,free,939,939
Fernsehen mit Herz Amazon Channel,DE,subscription,7,5
Film Movement Plus,CA,subscription,7,7
Film Movement Plus,US,subscription,10,10
Film Movement Plus Amazon Channel,US,subscription,4,4
Film Total Amazon Channel,DE,subscription,52,52
Film Total Amazon Channel,PL,subscription,10,10
Film1,NL,subscription,12,12
FilmBox Live Amazon Channel,GB,subscription,12,9
FilmBox Live Amazon Channel,PL,subscription,2,2
FilmBox Live Amazon Channel,US,subscription,14,10
FilmBox+,AR,subscription,2,2
FilmBox+,AT,subscription,2,2
FilmBox+,AU,subscription,17,16
FilmBox+,BE,subscription,2,2
FilmBox+,BR,subscription,17,16
FilmBox+,CA,subscription,17,16
FilmBox+,CH,subscription,2,2
FilmBox+,CL,subscription,2,2
FilmBox+,CO,subscription,2,2
FilmBox+,DE,subscription,17,16
FilmBox+,DK,subscription,2,2
FilmBox+,ES,subscription,17,16
FilmBox+,FI,subscription,2,2
FilmBox+,FR,subscription,17,16
FilmBox+,GB,subscription,17,16
FilmBox+,IE,subscription,2,2
FilmBox+,IN,subscription,3,3
FilmBox+,IT,subscription,17,16
FilmBox+,JP,subscription,17,16
FilmBox+,KR,subscription,82,79
FilmBox+,NL,subscription,2,2
FilmBox+,NO,subscription,2,2
FilmBox+,NZ,subscription,2,2
FilmBox+,PH,subscription,2,2
FilmBox+,PL,subscription,19,15
FilmBox+,PT,subscription,2,2
FilmBox+,SE,subscription,2,2
FilmBox+,SG,subscription,2,2
FilmBox+,TH,subscription,2,2
FilmBox+,US,subscription,10,10
Filmelier Plus Amazon Channel,BR,subscription,50,49
Filmelier Plus Amazon Channel,CL,subscription,2,2
Filmelier Plus Amazon Channel,CO,subscription,2,2
Filmelier Plus Amazon Channel,MX,subscription,39,38
filmfriend,AT,free,5,5
filmfriend,CH,free,4,4
filmfriend,DE,free,91,91
filmfriend,FR,free,1,1
Filmicca,BR,subscription,11,11
Filmin,ES,subscription,6246,6246
Filmin,PT,subscription,1232,1232
filmingo,AT,subscription,1,1
filmingo,CH,subscription,15,15
filmingo,DE,subscription,11,11
Filmlegenden Amazon Channel,DE,subscription,38,38
